authority,location,region,food_insecurity2017-2021,food_insecurity2018-2022,life_expectancy_2022,house_price_jul_22,house_price_jul_21,house_price_change,welfare_applications2020-2021,welfare_applications2021-2022,homelessness_applications2021-21,homelessness_applications 2021-2022,average_household_gas_consumption_kwh_2021,total_consumption_kwh,businesses_2021,businesses_2022,foodbank_parcels_2021,foodbank_parcels_2022,average_rent_2021,average_rent_2022,average_energy_bill_2021,Foodbank_difference,Population,SIMD,Deprivation,Foobank_pc_2021,Foodbank_pc_2022,PT_GP,Alcohol
Aberdeen City,Urban,north_east,8,10,76.9,203981,192388,0.06,20265,17130,1401,1548,13433.50335,2260.346635,4525,4030,3639,3180,649,663,1301.606933,-459,228800,4230.363958,Least,15.90472028,13.8986014,7.889789178,0.19116676
Aberdeenshire,Rural,north_east,8,8,78.77,174958,157190,0.11,8935,9360,902,956,15681.06284,1486.347245,7620,7185,9705,8592,649,663,1614.001076,-1113,261800,4674.364706,Least,37.07028266,32.81894576,14.74275709,0.094146466
Angus,Rural,east,9,8,78.22,196135,164462,0.19,5130,4865,514,519,13856.21879,922.310068,1825,1765,3616,3646,601,648,1434.551407,30,116280,3766.380645,Least,31.09735122,31.35534916,14.05806613,0.120877086
Argyll and Bute,Rural,highlands_islands,6,7,77.7,148896,147641,0.01,2355,2390,422,446,15099.56687,443.1732078,2030,2040,NA,NA,583,612,1854.221537,NA,86810,3549.544,Least,NA,NA,14.37583432,0.263559158
City of Edinburgh,Urban,east,7,6,77.95,153399,139179,0.10,39785,38625,553,573,12430.14442,4581.8243,10160,9460,29596,17803,942,1006,1315.316731,-11793,513210,4518.948074,Least,57.66840085,34.68950332,7.420621571,0.140157502
Clackmannanshire,Urban,east,6,6,75.32,328808,305995,0.08,3675,3500,893,1190,12829.4737,954.2531063,430,425,NA,NA,642,697,1847.455602,NA,51450,3043.347222,Most,NA,NA,9.671149837,0.177362569
Dumfries and Galloway,Rural,south_west,11,9,77.39,175263,157770,0.11,9415,9445,1394,1436,13400.92795,1231.371703,3260,3280,2674,2918,477,480,1739.150558,244,149200,3374.781095,Most,17.92225201,19.55764075,13.03684282,0.148668237
Dundee City,Urban,east,11,10,73.53,168895,150964,0.12,12580,13040,795,1007,12555.38204,1340.754866,1260,1260,12719,12751,601,648,1453.49039,32,148710,2748.68617,Most,85.52888172,85.74406563,8.606099439,0.193682292
East Ayrshire,Urban,south_west,13,13,74.88,165012,144075,0.15,8585,8970,292,368,16636.83909,900.4047498,1335,1305,8643,5770,500,493,1525.793391,-2873,121940,2759.190184,Most,70.87912088,47.31835329,10.86918531,0.221702856
East Dunbartonshire,Urban,south_west,4,4,80.01,128701,107417,0.20,3515,3405,649,667,16636.83909,900.4047498,1195,1100,5361,4889,721,780,1564.23939,-472,108130,4899.938462,Least,49.57921021,45.21409415,10.53696739,0.136771095
East Lothian,Rural,east,6,6,78.87,269476,236236,0.14,6020,6560,369,389,13129.56931,857.6399624,1495,1415,6951,8565,942,1006,1814.243318,1614,104840,3813.340909,Least,66.30103014,81.69591759,10.29134207,0.129779927
East Renfrewshire,Urban,south_west,6,6,79.39,306467,272892,0.12,1470,1520,2212,3130,17274.03265,753.8480809,1170,1090,4078,4122,518,547,1267.90957,44,94760,5178.581967,Least,43.03503588,43.49936682,8.836644767,0.135561127
Falkirk,Urban,east,4,4,76.21,295374,255791,0.16,6705,6710,140,155,13269.92982,1381.277084,1430,1300,7547,7779,642,697,1297.210737,232,160130,3406.654206,Most,47.1304565,48.57927934,9.613908797,0.165237457
Fife,Rural,east,8,8,76.85,165978,145915,0.14,33395,33810,1135,1179,13565.76475,3700.906635,3815,3540,16333,14800,616,649,1491.445988,-1533,371410,3494.251012,Least,43.97566032,39.84814625,9.193821297,0.200950599
Glasgow City,Urban,south_west,13,13,72.94,168599,154948,0.09,61315,62405,2536,2658,11068.74212,5158.579925,8330,8135,32868,29809,797,858,1452.271062,-3059,621020,2356.975871,Most,52.9258317,48.00006441,7.09802963,0.299394169
Highland,Rural,highlands_islands,8,6,77.56,201686,183957,0.10,8645,9315,7262,6323,13701.26785,1120.449919,5330,5315,7699,5526,612,643,1258.915212,-2173,235180,3606.676282,Least,32.73662726,23.49689599,16.66706626,0.21279377
Inverclyde,Rural,south_west,8,9,74.05,124516,118387,0.05,4450,4000,1109,1345,13438.00568,687.6152136,645,605,6069,5386,518,547,1441.267949,-683,78760,2532.385965,Most,77.05688167,68.38496699,9.515754791,0.37200659
Midlothian,Rural,east,8,9,77.56,232850,212862,0.09,7930,8125,323,320,12936.34836,712.9778322,965,925,4342,5660,942,1006,1373.267392,1318,90090,3367.182609,Most,48.1962482,62.82606283,10.6189106,0.174027592
Moray,Rural,highlands_islands,6,7,78.26,190875,167095,0.14,3195,3560,496,478,14158.45172,1712.029559,1520,1490,NA,NA,612,643,1481.15347,NA,95780,3987.396825,Least,NA,NA,13.77248244,0.159035779
Na h-Eileanan an Iar,Rural,highlands_islands,7,7,77.9,147596,131854,0.12,435,445,464,572,12129.79779,26.38840992,660,675,363,NA,612,643,1255.056081,NA,26950,3317.555556,Most,13.46938776,NA,17.43106831,0.24710937
North Ayrshire,Rural,south_west,7,8,74.45,133028,115080,0.16,8000,8225,1100,1160,12529.3955,1983.594413,1335,1225,6255,2834,500,493,1307.089429,-3421,135790,2610.370968,Most,46.06377495,20.87046174,9.079792251,0.282340776
North Lanarkshire,Urban,south_west,14,13,74.14,142186,125687,0.13,22810,23670,1617,1800,13340.47792,2890.190123,2385,2270,5977,4222,517,560,1138.683625,-1755,339960,2620.642058,Most,17.58148017,12.41910813,10.31436839,0.261495535
Orkney Islands,Rural,highlands_islands,5,5,80.4,222241,175181,0.27,225,215,150,123,NA,NA,935,960,1367,940,612,643,1250.351553,-427,22000,4052.206897,Least,62.13636364,42.72727273,15.31733932,0.239874458
Perth and Kinross,Rural,east,6,5,78.86,240865,217002,0.11,7065,6950,694,638,14380.18003,1017.447388,2870,2870,5380,6769,590,626,1277.327702,1389,151100,4268.758065,Least,35.60555923,44.79814692,12.98530897,0.114411931
Renfrewshire,Urban,south_west,6,7,75.53,156991,141430,0.11,12495,12910,867,905,12503.01786,1573.429072,1785,1660,9292,7938,518,547,1282.46208,-1354,176830,3312.564444,Most,52.54764463,44.89057287,10.03934229,0.276538742
Scottish Borders,Rural,east,7,7,79.06,195746,182486,0.07,3120,3115,679,701,13489.96738,774.9463684,2475,2490,1174,1053,516,525,1267.452687,-121,115020,3806.048951,Least,10.20692054,9.154929577,13.4158737,0.13629109
